Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,2668.53,26661.1,488,4880,324.9,3249,163.1,1631,33.4221,33.4221,,58479,,1.14622,1.93525,0.870416,1657.34,3264.82,24.8936,20.6903,2.815,2.85,124.263,128.421,73.3036,0d 1h 13m 18s
2,10,1984.37,19826.7,488,4880,241.6,2416,246.4,2464,50.4918,50.4918,,41599,,1.06592,2.51585,0.870736,2065.03,4233,40.0836,34.9415,4.605,3.75,190.694,202.051,78.7452,0d 1h 18m 44s
3,10,2002.45,20008.8,488,4880,243.8,2438,244.2,2442,50.041,50.041,,49991,,1.06425,2.61253,0.871128,1836.37,3652.2,38.406,35.4584,4.425,4.75,171.481,176.243,79.0963,0d 1h 19m 5s
4,10,2622.38,26202.5,488,4880,319.3,3193,168.7,1687,34.5697,34.5697,,53829,,1.17595,1.83852,0.870845,1338.98,3317.11,20.3079,18.0767,2.455,2.85,101.953,113.477,72.0074,0d 1h 12m 0s
5,10,2405.73,24042.9,488,4880,292.9,2929,195.1,1951,39.9795,39.9795,,20936,,1.2012,2.61226,0.870519,1660.15,3727.6,37.4421,30.8019,5.925,4.75,154.428,166.286,69.5621,0d 1h 9m 33s
6,10,2384.38,23823.1,488,4880,290.3,2903,197.7,1977,40.5123,40.5123,,56565,,1.09128,2.41896,0.870651,1642.56,3810.1,36.7966,27.0096,3.76,3.75,159.312,186.394,77.5262,0d 1h 17m 31s
7,10,2595.89,25922.7,488,4880,316.1,3161,171.9,1719,35.2254,35.2254,,10267,,1.13329,2.41751,0.870847,1377.67,3466.35,26.5167,24.6933,3.46,3.15,114.852,134.12,74.725,0d 1h 14m 43s
8,10,2246.4,22447.8,488,4880,273.5,2735,214.5,2145,43.9549,43.9549,,11893,,1.08231,2.51536,1.83775,1417.04,3482.75,35.3704,30.1293,4.005,3.05,136.814,146.026,76.9625,0d 1h 16m 57s
9,10,2236.53,22346.3,488,4880,272.3,2723,215.7,2157,44.2008,44.2008,,43830,,1.09567,2.32237,0.871004,1617.99,3210.86,32.232,28.0265,3.805,2.85,143.314,150.271,76.696,0d 1h 16m 41s
10,10,1811.9,18106.8,488,4880,220.6,2206,267.4,2674,54.7951,54.7951,,1549,,1.13743,3.3862,2.8054,2331.76,4601.68,63.8567,54.9921,6.385,5.75,246.502,284.504,72.778,0d 1h 12m 46s
11,10,2131.4,21298.6,488,4880,259.5,2595,228.5,2285,46.8238,46.8238,,58130,,1.13105,2.22549,1.83791,2314.34,4131.11,40.7328,35.1332,4.075,3.75,197.238,203.019,73.6276,0d 1h 13m 37s
12,10,2059.96,20585.1,488,4880,250.8,2508,237.2,2372,48.6066,48.6066,,736,,1.08061,2.70918,0.871566,1752.03,3642.03,44.6916,35.8803,5.105,3.95,179.97,187.106,76.6204,0d 1h 16m 37s
13,10,2506.77,25049.3,488,4880,305.2,3052,182.8,1828,37.459,37.459,,36633,,1.17629,2.22551,0.87099,2119.59,10080.9,49.3672,44.1656,4.05,2.85,212.391,391.886,72.0713,0d 1h 12m 4s
14,10,2274.32,22723,488,4880,276.9,2769,211.1,2111,43.2582,43.2582,,30442,,1.19684,2.41895,0.870419,1410.9,3266.24,35.7518,28.9312,4.355,3.75,138.969,151.367,70.0732,0d 1h 10m 4s
15,10,2880.46,28780.3,488,4880,350.7,3507,137.3,1373,28.1352,28.1352,,62697,,1.17394,2.12635,0.848234,1471.72,4151.1,26.9341,24.0499,2.91,2.85,130.756,158.245,73.0414,0d 1h 13m 2s
16,10,2393.41,23911.7,488,4880,291.4,2914,196.6,1966,40.2869,40.2869,,34823,,1.09837,2.12859,0.870837,1290.02,4177.01,27.8691,24.7887,3.83,2.85,114.686,139.831,76.4326,0d 1h 16m 25s
17,10,1987.62,19857.6,488,4880,242,2420,246,2460,50.4098,50.4098,,45728,,1.1311,2.70936,1.83784,1604.75,4465.42,37.324,35.7681,4.615,4.8,152.666,178.634,73.1652,0d 1h 13m 9s
18,10,2328.53,23264.4,488,4880,283.5,2835,204.5,2045,41.9057,41.9057,,21201,,1.09585,2.70937,0.871612,1596.51,3733.1,32.8909,30.5544,4.565,4.75,143.719,169.307,76.3986,0d 1h 16m 23s
19,10,2219.05,22147.9,488,4880,270.2,2702,217.8,2178,44.6311,44.6311,,48655,,1.14039,2.12878,0.870835,1516.28,3636.96,35.4013,29.6466,4.11,3.75,151.195,159.208,74.4344,0d 1h 14m 26s
20,10,2192.18,21909.1,488,4880,266.9,2669,221.1,2211,45.3074,45.3074,,56879,,1.10093,2.89799,1.79294,2704.42,3736.83,67.421,53.6163,5.415,4.75,289.205,283.703,76.15,0d 1h 16m 8s
21,10,2312.91,23109.5,488,4880,281.6,2816,206.4,2064,42.2951,42.2951,,56041,,1.1626,2.41884,0.870355,1852.2,4231.63,33.6328,29.6084,4.2,3.75,158.186,174.401,72.3238,0d 1h 12m 19s
22,10,2224.19,22222.5,488,4880,270.8,2708,217.2,2172,44.5082,44.5082,,48390,,1.112,2.70914,0.871285,1140.73,3042.03,26.8768,23.708,4.68,4.55,103.261,117.346,76.6465,0d 1h 16m 38s
23,10,2302.23,23002.8,488,4880,280.3,2803,207.7,2077,42.5615,42.5615,,18199,,1.14553,2.41884,0.8716,2169.95,4083.66,51.4035,40.202,4.49,3.75,215.552,229.083,73.2681,0d 1h 13m 16s
24,10,2681.62,26791.7,488,4880,326.5,3265,161.5,1615,33.0943,33.0943,,4932,,1.16237,2.3219,0.870709,1613.41,3026.82,28.4696,26.9056,3.215,2.85,134.785,137.1,73.0372,0d 1h 13m 2s
25,10,2343.3,23412,488,4880,285.3,2853,202.7,2027,41.5369,41.5369,,1677,,1.13429,2.32223,0.871391,1825.23,4261.07,35.3348,31.51,3.64,3.15,169.956,199.217,74.6574,0d 1h 14m 39s
26,10,2465.68,24640.4,488,4880,300.2,3002,187.8,1878,38.4836,38.4836,,52314,,1.1626,2.03203,0.870629,1753.42,3471.2,29.6434,27.5759,3.375,3.05,144.08,152.752,72.4874,0d 1h 12m 29s
27,10,2229.11,22272.1,488,4880,271.4,2714,216.6,2166,44.3852,44.3852,,65358,,1.08442,2.51559,0.871148,2333.52,4608.48,43.1019,40.3008,4.685,4.65,211.254,228.448,76.7507,0d 1h 16m 45s
28,10,2112.5,21106.1,488,4880,257.2,2572,230.8,2308,47.2951,47.2951,,46504,,1.12811,3.09599,1.83808,1544.82,3794.83,47.287,40.0259,5.08,4.75,165.958,208.823,72.8531,0d 1h 12m 51s
29,10,2336.44,23348.2,488,4880,284.5,2845,203.5,2035,41.7008,41.7008,,23109,,1.20839,2.32232,0.870775,1554.19,3545.97,28.5237,23.7275,3.68,2.85,127.155,143.481,68.3412,0d 1h 8m 20s
30,10,2328.47,23265.9,488,4880,283.5,2835,204.5,2045,41.9057,41.9057,,14255,,1.09894,2.12902,1.83791,1929.61,3705.24,42.0712,39.9902,4.125,3.75,179.651,201.48,76.7295,0d 1h 16m 43s
31,10,2454.99,24528.2,488,4880,298.9,2989,189.1,1891,38.75,38.75,,6220,,1.18466,2.12864,0.870661,2439.76,3964.76,43.4456,36.6884,3.59,3.75,208.671,220.163,71.7131,0d 1h 11m 42s
32,10,2236.52,22350.1,488,4880,272.3,2723,215.7,2157,44.2008,44.2008,,46313,,1.10923,2.41893,0.871196,2091.7,3966.61,38.3904,36.3872,4.96,4.75,183.224,207.688,76.4318,0d 1h 16m 25s
33,10,2091.98,20902.6,488,4880,254.7,2547,233.3,2333,47.8074,47.8074,,50522,,1.11636,2.3223,0.871162,865.874,2039,23.6218,20.2944,3.915,3.75,84.2588,90.701,75.1817,0d 1h 15m 10s
34,10,2014.76,20131.3,488,4880,245.3,2453,242.7,2427,49.7336,49.7336,,64229,,1.12324,2.80576,1.83783,2277.21,4635.07,53.53,51.7377,4.66,4.75,232.273,275.248,74.9261,0d 1h 14m 55s
35,10,2516.61,25141.9,488,4880,306.4,3064,181.6,1816,37.2131,37.2131,,61717,,1.16315,2.03226,0.871305,1556.67,3945.02,28.5501,26.3478,2.93,2.85,134.741,168.612,72.8983,0d 1h 12m 53s
36,10,1579.44,15785,488,4880,192.3,1923,295.7,2957,60.5943,60.5943,,36847,,1.06357,2.8986,0.871516,1891.09,3801.38,65.0698,50.2518,5.645,4.75,237.955,246.703,78.3096,0d 1h 18m 18s
37,10,2481.31,24794.7,488,4880,302.1,3021,185.9,1859,38.0943,38.0943,,48652,,1.09164,2.12398,0.823957,1177.82,1960.03,25.2615,23.0431,3.54,3.75,101.313,105.778,77.7971,0d 1h 17m 47s
38,10,2925.66,29231.6,488,4880,356.2,3562,131.8,1318,27.0082,27.0082,,31012,,1.13867,1.64517,0.87115,1373.45,3957.23,22.5721,19.33,2.46,1.85,109.276,127.456,73.8553,0d 1h 13m 51s
39,10,1783.91,17826,488,4880,217.2,2172,270.8,2708,55.4918,55.4918,,38423,,1.1298,2.90283,0.871243,1534.56,3740.73,71.4387,44.494,9.135,4.75,202.14,199.987,73.4217,0d 1h 13m 25s
40,10,1891.5,18897.7,488,4880,230.3,2303,257.7,2577,52.8074,52.8074,,7519,,1.09266,2.70934,1.83799,1526.3,3956.97,40.8332,38.3812,5.75,4.75,154.481,182.33,77.0916,0d 1h 17m 5s
41,10,1941.68,19400.7,488,4880,236.4,2364,251.6,2516,51.5574,51.5574,,33758,,1.11172,3.09628,1.83867,1467.42,3853.36,42.7635,35.7502,4.865,4.75,160.143,213.773,74.3024,0d 1h 14m 18s
42,10,2671.83,26696.8,488,4880,325.3,3253,162.7,1627,33.3402,33.3402,,27341,,1.20887,1.74129,0.866126,1803.57,5257.81,29.8577,26.2909,2.82,2.85,143.428,162.672,70.2746,0d 1h 10m 16s
43,10,2550.27,25477,488,4880,310.5,3105,177.5,1775,36.373,36.373,,61362,,1.13396,2.3222,1.83775,2098.79,5121.33,38.2325,38.3005,3.51,3.75,180.217,227.717,73.7922,0d 1h 13m 47s
