Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,3970.09,39644.7,282,2820,278.9,2789,3.1,31,1.09929,1.09929,,61744,,15.9157,3.38615,1.83864,745.389,2251.23,7.30412,7.31346,3.48,3.75,46.7932,64.7003,0.393875,0d 0h 0m 23s
2,10,4004.26,39984.2,282,2820,281.3,2813,0.7,7,0.248227,0.248227,,42251,,22.7362,2.32215,0.870671,376.123,960.871,4.0606,4.0605,2.41,2.85,23.0132,30.6696,0.291689,0d 0h 0m 17s
3,10,3908.88,39036.8,282,2820,274.6,2746,7.4,74,2.62411,2.62411,,58689,,18.6755,2.51557,0.871053,245.651,1009.09,4.13803,4.16261,2.52,2.85,15.1623,22.627,0.377602,0d 0h 0m 22s
4,10,3988.57,39822.7,282,2820,280.2,2802,1.8,18,0.638298,0.638298,,42730,,21.0238,2.61249,0.871011,724.869,3013.4,6.38496,6.37139,2.81,2.85,46.8646,77.18,0.293137,0d 0h 0m 17s
5,10,3995.65,39900.7,282,2820,280.7,2807,1.3,13,0.460993,0.460993,,56427,,19.1361,2.41884,0.871186,226.77,1292.03,4.2469,4.25498,2.66,1.85,14.2856,26.6147,0.370399,0d 0h 0m 22s
6,10,4002.83,39967.6,282,2820,281.2,2812,0.8,8,0.283688,0.283688,,45374,,20.5042,2.70899,0.87109,206.705,709.044,3.73968,3.73889,2.72,1.85,12.6616,20.1094,0.304832,0d 0h 0m 18s
7,10,3827.75,38218.3,282,2820,268.9,2689,13.1,131,4.64539,4.64539,,38917,,22.6652,2.6123,0.871016,371.397,1253.19,4.30653,4.28534,2.62,1.85,23.3516,36.1145,0.270622,0d 0h 0m 16s
8,10,4004.25,39981,282,2820,281.3,2813,0.7,7,0.248227,0.248227,,44353,,23.5654,2.02676,0.818463,271.084,1017.54,3.7941,3.79241,2.13,1.85,17.9618,31.2189,0.307951,0d 0h 0m 18s
9,10,3712.42,37069.5,282,2820,260.8,2608,21.2,212,7.51773,7.51773,,43137,,19.4276,3.1013,0.871097,269.29,1234.57,4.5215,4.50856,3.22,3.75,16.4489,31.7066,0.296518,0d 0h 0m 17s
10,10,3767.94,37623.8,282,2820,264.7,2647,17.3,173,6.13475,6.13475,,57198,,17.7811,2.80595,0.871176,471.957,1260.89,5.65059,5.8073,3.07,2.85,30.819,43.5913,0.33275,0d 0h 0m 19s
11,10,3964.4,39596.9,282,2820,278.5,2785,3.5,35,1.24113,1.24113,,61768,,15.2439,2.99936,0.870998,480.512,1254.61,6.61291,6.59317,4.18,3.75,29.2231,37.8359,0.358918,0d 0h 0m 21s
12,10,4002.83,39986.8,282,2820,281.2,2812,0.8,8,0.283688,0.283688,,43385,,18.539,2.99925,1.83916,541.407,1297.98,5.86041,5.85813,3.57,3.75,32.4772,43.2125,0.256144,0d 0h 0m 15s
13,10,3991.44,39860.8,282,2820,280.4,2804,1.6,16,0.567376,0.567376,,48656,,20.6813,2.50986,0.870861,471.485,1254.63,4.85325,4.84637,2.6,2.85,28.5731,40.7659,0.322232,0d 0h 0m 19s
14,10,3856.22,38519,282,2820,270.9,2709,11.1,111,3.93617,3.93617,,42898,,21.5257,2.61073,0.87051,590.861,1658.55,5.02521,5.09626,2.61,2.85,35.2613,48.2168,0.295645,0d 0h 0m 17s
15,10,3971.51,39652.8,282,2820,279,2790,3,30,1.06383,1.06383,,50841,,20.5438,2.32228,0.870705,474.639,1181.87,5.02949,5.02389,2.44,2.85,30.258,41.2677,0.344379,0d 0h 0m 20s
16,10,3869.02,38637.7,282,2820,271.8,2718,10.2,102,3.61702,3.61702,,56311,,18.6021,2.80588,0.870651,313.834,1022.74,4.71986,4.78435,2.82,2.85,21.2369,33.9892,0.329143,0d 0h 0m 19s
17,10,3851.95,38464.4,282,2820,270.6,2706,11.4,114,4.04255,4.04255,,42374,,22.525,2.419,0.871543,244.863,1263.9,3.80453,3.85413,2.52,2.85,15.1648,26.8025,0.253123,0d 0h 0m 15s
18,10,4001.41,39958.5,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,40462,,23.0104,2.32194,0.870269,341.956,1254.74,4.11981,4.12128,2.42,2.85,21.2289,33.6705,0.240417,0d 0h 0m 14s
